page,type,incoming,avg_within_10k,linking_places_within_10k,incoming_within_10k
Rathenow,2,2039,96.1333333333333333,30,295
Lüchow (Wendland),2,2038,63.2142857142857143,85,838
Bernburg (Saale),2,2021,74.6067415730337079,89,383
Warendorf,6,2018,83.3191489361702128,47,354
Borna,2,2004,83.5454545454545455,88,758
Elmshorn,2,1999,86.2924528301886792,107,528
Büren (Westfalen),6,1998,56.0396039603960396,101,840
Weingarten (Württemberg),1,1989,151.6869565217391304,116,437
Backnang,2,1988,90.6708860759493671,80,443
Idstein,2,1987,68.9696969696969697,136,819
Leonberg,2,1984,83.3239436619718310,147,503
Miltenberg,2,1983,69.4495412844036697,111,625
Altötting,2,1982,79.8055555555555556,77,351
Syke,2,1974,64.9729729729729730,76,797
Bad Oeynhausen,6,1963,65.7661290322580645,249,738
Aichach,2,1961,59.5376344086021505,95,805
Schwarzenberg/Erzgeb.,2,1959,91.4157303370786517,179,629
Heilbad Heiligenstadt,2,1957,83.0084745762711864,119,400
Marienberg,2,1955,66.0943396226415094,107,512
Emmerich am Rhein,6,1950,123.3333333333333333,94,283
Mindelheim,2,1948,39.6614583333333333,210,842
Schwedt/Oder,2,1945,41.2962962962962963,27,135
Oppenheim,5,1945,59.5535714285714286,112,414
Dinslaken,6,1942,90.8201058201058201,191,609
Friedberg (Bayern),2,1939,144.7103004291845494,478,626
Heppenheim (Bergstraße),2,1936,131.8097826086956522,187,652
Ahlen,6,1934,64.2888888888888889,92,342
St. Ingbert,2,1932,148.7192982456140351,287,623
Clausthal-Zellerfeld,2,1929,87.4060150375939850,133,613
Halle (Westf.),6,1926,70.5850340136054422,148,587
Sangerhausen,2,1920,58.7088607594936709,79,360
Ehingen (Donau),2,1917,68.3650793650793651,63,481
Marsberg,6,1915,43.6760563380281690,143,954
Neckarsulm,2,1912,127.1837916063675832,697,785
Bad Salzuflen,6,1904,98.8167330677290837,252,779
Staßfurt,2,1899,56.8281250000000000,66,764
Zeitz,2,1896,43.0000000000000000,69,197
Bietigheim-Bissingen,2,1895,140.1440000000000000,252,541
Sulzbach-Rosenberg,2,1889,134.3750000000000000,85,230
Eitorf,6,1886,30.4277456647398844,350,1052
Kehl,2,1878,271.2478632478632479,117,494
Dessau-Roßlau,1,1875,180.6181818181818182,111,479
Burg (bei Magdeburg),2,1873,36.6491228070175439,61,193
Eschwege,2,1869,69.6638655462184874,120,611
Lahr/Schwarzwald,2,1865,54.2745098039215686,51,303
Bad Mergentheim,2,1862,75.1290322580645161,62,353
Sindelfingen,2,1861,96.0821917808219178,149,455
Korbach,2,1849,89.0114942528735632,88,591
Luckenwalde,2,1849,95.8787878787878788,33,243
Nauen,2,1845,66.7500000000000000,32,381
Schorndorf,2,1837,57.7901234567901235,81,502
Bad Laasphe,6,1832,72.3153846153846154,130,656
Fürstenwalde/Spree,2,1826,55.4375000000000000,49,253
Strausberg,2,1814,270.5762711864406780,59,402
Cloppenburg,2,1811,31.6444444444444444,46,440
Alsfeld,2,1809,37.1341463414634146,87,769
Wolgast,2,1808,62.5500000000000000,80,558
Bad Berleburg,6,1808,104.1710526315789474,76,515
Köthen (Anhalt),2,1806,60.6666666666666667,54,220
Bad Wildungen,2,1806,77.6442307692307692,105,454
Simmern/Hunsrück,5,1801,949.8659793814432990,98,537
Cochem,5,1799,53.1523809523809524,106,493
Königstein im Taunus,2,1793,101.7528957528957529,261,427
Monschau,6,1787,46.6666666666666667,57,527
Ebersberg,2,1785,56.2209302325581395,87,615
Regen (Stadt),2,1781,144.7818181818181818,56,277
Castrop-Rauxel,6,1779,67.7925764192139738,469,548
Bünde,6,1775,72.2163461538461538,209,815
Templin,2,1761,96.7586206896551724,29,443
Frankenberg (Eder),2,1758,61.2535211267605634,71,492
Bogen (Stadt),2,1757,77.3596059113300493,203,589
Kempen,6,1754,87.1111111111111111,92,514
Schongau,2,1747,62.8545454545454545,55,358
Schleiz,2,1740,69.3636363636363636,94,405
Rüsselsheim am Main,3,1735,287.4588744588744589,233,169
Herrenberg,2,1734,55.1250000000000000,81,428
Saarburg,2,1724,58.5945945945945946,75,487
Warstein,6,1720,55.2375000000000000,160,646
Springe,2,1699,58.7166666666666667,121,559
Verden (Aller),2,1699,80.8461538461538462,92,420
Lage (Lippe),6,1693,128.4293333333333333,375,765
Erftstadt,6,1687,93.8626760563380282,290,1056
Korschenbroich,6,1682,45.7972270363951473,1168,1360
Attendorn,6,1677,60.2426035502958580,169,785
Kusel,5,1675,75.8288288288288288,112,575
Oschatz,2,1674,62.5882352941176471,35,424
Waldshut-Tiengen,2,1669,99.1386861313868613,138,414
Meerbusch,6,1667,202.4532019704433498,826,674
Mühldorf am Inn,2,1664,95.8870967741935484,65,290
Remagen,5,1663,90.1416184971098266,347,682
Herten,6,1663,157.9743589743589744,278,500
Bad Salzungen,2,1659,69.4655172413793103,175,717
Dülmen,6,1650,40.2916666666666667,48,455
Wittmund,2,1641,77.8518518518518519,108,574
Engelskirchen,6,1640,40.1285046728971963,429,1129
Bühl (Baden),2,1638,88.5750000000000000,83,354
Buxtehude,2,1635,88.2592592592592593,82,333
Wittlich,2,1629,64.4705882352941176,69,459
Dippoldiswalde,2,1620,71.1788617886178862,123,643
Kamen,6,1619,87.6548672566371681,229,488
Duderstadt,2,1616,46.0000000000000000,87,580
Papenburg,2,1616,49.4776119402985075,67,391
Ahrensburg,4,1613,75.8400000000000000,125,383
Pfullendorf,2,1607,66.8037383177570093,107,586
Bremervörde,2,1606,42.5000000000000000,50,577
Königs Wusterhausen,2,1605,65.8804347826086957,92,613
Selb,2,1605,38.3846153846153846,105,393
Dillingen/Saar,2,1595,212.4131736526946108,169,932
Daun,2,1589,53.3711340206185567,97,584
Grünstadt,2,1589,70.4419642857142857,225,484
Petershagen,6,1587,49.3076923076923077,117,624
Rotenburg (Wümme),2,1586,44.7894736842105263,38,340
Haldensleben,2,1585,61.0000000000000000,82,468
Forst (Lausitz),2,1584,108.3333333333333333,24,107
Wurzen,2,1581,63.1315789473684211,38,245
Hennef (Sieg),6,1578,64.2531017369727047,405,936
Ettlingen,2,1578,295.1237458193979933,302,377
Frechen,6,1576,102.8909465020576132,494,550
Schwelm,6,1573,83.9977401129943503,888,611
Dormagen,6,1569,136.6337448559670782,245,610
Groß-Gerau,2,1566,190.0421052631578947,96,479
Schönebeck (Elbe),3,1563,30.2709359605911330,208,432
Bad Langensalza,2,1555,35.7066666666666667,75,356
Ingelheim am Rhein,2,1553,83.2476190476190476,212,483
