page_id,page,min
26764,Finsterwalde,2171.06651433615
38939,Cham (Oberpfalz),2171.86588347077
46345,Lebach,2172.33509123811
192350,Riedlingen,2177.10602195066
102336,Daun,2183.3873240215
71050,Hermsdorf (Thüringen),2184.97458886002
9374,Templin,2190.05447477425
3667832,Tuttlingen,2196.16483978539
18416,Aurich,2196.19135041765
112650,Neustadt an der Aisch,2196.49400233703
19305,Zittau,2196.89110680717
517697,Lauscha,2198.09672453387
354790,Peiting,2199.68892898805
73371,Glauchau,2213.51204482059
5725,Wülfrath,2223.27823803088
156865,Wolfhagen,2226.29872968972
132468,Germering,2227.97345551354
155823,Kastellaun,2227.99991241018
78101,Bad Mergentheim,2228.91456994366
1359458,Eisenach,2230.4481985217
1540169,Hessisch Lichtenau,2231.6701992935
145689,Hausham,2233.30383707376
133861,Kleve,2235.00274366023
95428,Barntrup,2242.84015460164
537732,Maxhütte-Haidhof,2250.28141649747
4279842,Lichtenstein/Sa.,2251.03558222102
99743,Schlüchtern,2252.73906135247
60726,Büdingen,2257.39551142958
85527,Dormagen,2261.38042599119
868225,Völklingen,2261.83993599986
208340,Nagold (Stadt),2266.25365579886
17390,Papenburg,2271.88361489478
133332,Idstein,2274.60838679753
16861,Hann. Münden,2280.11090246031
1383,Eschborn,2289.37447434996
107857,Kirchberg (Hunsrück),2292.96978846865
132750,Höchstadt an der Aisch,2296.28737209625
61354,Bad Tölz,2297.83684172946
1899960,Stendal,2304.52486760601
354315,Marktoberdorf,2308.81264981322
3381356,Laubach,2310.28472504027
193500,Weilheim in Oberbayern,2310.65738396583
80150,Bad Freienwalde (Oder),2312.090065103
706460,Bad Krozingen,2317.75974570263
4002438,Warstein,2320.89028580111
32566,Pirmasens,2321.526601891
9276,Neuruppin,2323.17188430103
133688,Ibbenbüren,2323.27516255239
16784,Zeven,2325.52901226373
69324,Saarburg,2331.77259972255
37574,Wasserburg am Inn,2334.35373775789
35555,Meschede,2338.78393450368
47520,Schorndorf,2341.95449473652
330544,Sonthofen,2353.36891823802
3185995,Geesthacht,2356.64110106637
212542,Werdau,2357.05729897243
132712,Gerolstein,2374.61911674524
57520,Usingen,2378.67674067063
57466,Niesky,2380.79408204048
15923,Schwäbisch Gmünd,2393.10104221369
341141,Obertshausen,2397.25059598558
111395,Friedberg (Hessen),2403.67695760178
66603,Ratingen,2406.08334981446
21531,Grünberg (Hessen),2406.33165353598
87169,Dingolfing,2408.92985946868
53044,Langen (Hessen),2415.42392054001
41348,Göppingen,2415.68499265851
291293,Rodewisch,2420.85064530715
142600,Auerbach/Vogtl.,2420.85064530727
3199881,Parsberg,2424.5560995163
60919,Ahaus,2430.85547705513
42383,Nordhausen,2437.54659373665
18473,Winsen (Luhe),2438.25207304555
71934,Werne,2442.68752305445
2249,Hochheim am Main,2443.50098469592
61687,Bad Nenndorf,2444.91115574932
96795,Oberstdorf,2454.31272904354
807643,Großburgwedel,2458.62502035159
41577,Ehingen (Donau),2472.19988072221
17980,Diepholz,2481.90140556312
30461,Baden-Baden,2486.03934059493
252027,Schongau,2488.93505683036
141648,Bürstadt,2490.1602807166
4670533,Rottach-Egern,2491.15173085228
75321,Tegernsee (Stadt),2491.15173085253
34593,Rottweil,2492.65883432184
1594,Frankenthal (Pfalz),2495.18743041253
551616,Kirchhain,2496.7445683684
12294,Bruchsal,2504.43655639293
192431,Syke,2505.09224219941
94120,Sulzbach-Rosenberg,2523.24858642753
18577,Aschersleben,2532.62413200808
71403,Bernau bei Berlin,2532.7759513277
127820,Mühlacker,2535.79498454429
436733,Naila,2542.80988446986
58547,Regen (Stadt),2544.82822367853
88659,Moosburg an der Isar,2548.1377758135
107545,Spremberg,2552.68618640525
276717,Nauen,2566.57851120552
129794,Dillenburg,2569.50024690202
35960,Ebersberg,2573.54210639212
4676987,Backnang,2575.20158348158
235270,Ellefeld,2580.5793849653
43477,Datteln,2589.64049807047
184006,Höhr-Grenzhausen,2589.99654918201
3620284,Höxter,2594.7836862075
22167,Lorsch,2597.31303958935
127528,Kevelaer,2600.05161685709
3952551,Melle,2602.30118639447
137098,Heiligenhaus,2603.16988522604
72053,Werl,2603.7473362978
129900,Erding,2605.35868214048
18732,Köthen (Anhalt),2609.43975113748
57795,Schramberg,2614.85368927296
182262,Laupheim,2629.4810137477
15467,Lutherstadt Wittenberg,2632.7308904216
98118,Weinheim,2633.10245471208
55745,Eberbach,2635.99913952839
266163,Bad Sobernheim,2646.926156529
76995,Geldern,2654.05996172685
347051,Illertissen,2655.72938896211
661515,Grevesmühlen,2656.39839533393
14069,Bückeburg,2667.64928240779
61242,Willich,2667.67035864368
73645,Hersbruck,2694.00535631728
132795,Wissen (Stadt),2695.0780625102
58910,Jever,2697.61573847911
9375,Bad Belzig,2699.20964904844
54974,Freilassing,2722.79234783819
3009588,Büren (Westfalen),2723.06644896359
138103,Zossen,2725.5574306948
145048,Lahr/Schwarzwald,2726.51578857268
72050,Geseke,2728.33907083163
110103,Gronau (Westf.),2755.77184636689
133826,Herxheim bei Landau/Pfalz,2757.10283945231
169821,Leipheim,2760.58193693758
3217580,Bad Wörishofen,2767.96035087674
189440,Butzbach,2768.35610043101
18446,Neustadt am Rübenberge,2779.86729387881
35786,Pfungstadt,2780.41636097441
149929,Stadtallendorf,2783.61642763976
156331,Großenhain,2785.12427591228
116987,Hermeskeil,2788.95703571296
26626,Viernheim,2789.3613585276
95125,Delbrück,2803.69206268358
5599898,Mosbach,2809.23363542797
249319,Domažlice,2811.84845741674
21191,Buxtehude,2814.55732795241
45898,Geislingen an der Steige,2828.57554319046
19535,Erkner,2830.19693257262
112530,Bad Lobenstein,2841.80740743765
143597,Seesen,2845.7436086926
3996870,Rottenburg am Neckar,2852.22503996144
108279,Heilbad Heiligenstadt,2855.32006133983
4029,Peine,2862.66443038444
75274,Idar-Oberstein,2873.11562709099
28681,Monheim am Rhein,2874.87397438376
4156320,Dieburg,2887.98639806832
2350,Itzehoe,2892.64992514922
4931761,Güstrow,2896.16315836458
91547,Mayen,2897.18004848946
